name,honor,class,LWHonor,standing,rank,rankProgress,RP
Lanaya,306406,ROGUE,39330,2446,13,0.59215689776465,57961
Bbin,305833,WARLOCK,341838,203,10,0.87843142449856,44393
Tzyndac,303905,PALADIN,323574,214,8,0.62745101749897,33138
Hashiqia,301754,MAGE,454506,130,9,0.96470593940467,39824
Pintsizedhlz,300849,PRIEST,233863,386,7,0.39607845479622,26981
Sanglel,299553,WARLOCK,522143,102,8,0.41568629909307,32079
Tabarnack,298036,MAGE,269784,281,7,0.38039217935875,26902
Neiff,297280,MAGE,419972,146,9,0.71764710126445,38589
Ttcc,295968,WARRIOR,530449,99,10,0.0078431377187371,40040
Toudaozhiren,295296,ROGUE,289193,251,8,0.83137259818614,34157
Njxiaozhi,293580,ROGUE,360549,187,9,0.46666669426486,37334
Yuzada,287777,WARLOCK,131777,1082,9,0.12156863464043,35608
Clr,287045,HUNTER,498781,111,9,0.85490201134235,39275
Nicejob,283708,PALADIN,298355,240,9,0.30196080217138,36510
Dajiangjun,283521,WARRIOR,321479,216,7,0,25000
Ouyangfeng,283092,PALADIN,236482,370,8,0.38823531707749,31942
Xiaohuya,279535,HUNTER,410,0,4,0.91764711309224,14589
Voxy,278217,HUNTER,478879,115,10,0.77254906529561,43863
Kankanan,277145,PRIEST,230774,400,9,0.02745098201558,35138
Netherspite,276411,WARRIOR,161340,861,7,0.4745098319836,27373
Fireshoter,272887,MAGE,195280,652,8,0.16078432323411,30804
Gorbik,270268,MAGE,500976,110,10,0.58039219118655,42902
Miyukix,269917,PRIEST,507675,106,4,0.46666669426486,12334
Swiifty,269694,WARRIOR,291403,249,9,0.29411766445264,36471
Lightcoil,269284,PALADIN,79657,1688,6,0.53725492954254,22687
Zeelay,265727,PALADIN,105449,1358,9,0.60392160434276,38020
Uri,262798,MAGE,281922,265,9,0.69019611924887,38451
Contemporary,259559,PRIEST,301311,238,5,0.53333336487412,17667
Twentysixx,258942,WARRIOR,572988,79,10,0.71764710126445,43589
Teenie,257735,WARLOCK,311218,223,10,0.26666668243706,41334
Ruaa,256462,MAGE,265688,287,6,0.22745099384338,21138
Zakrilege,255943,WARRIOR,124099,1145,7,0.40784316137433,27040
Chuiniulaoge,255819,PALADIN,300205,239,4,0.37647061049938,11883
Lackio,252725,HUNTER,3068,4376,6,0.12156863464043,20608
Zypro,251651,MAGE,421098,144,8,0.9607843705453,34804
Playdead,249754,WARRIOR,337042,207,7,0.75294122099876,28765
Breadstick,243859,HUNTER,328578,212,9,0.9607843705453,39804
Shiggys,242593,HUNTER,309895,226,6,0.53333336487412,22667
Ninefather,240271,MAGE,264311,289,8,0.22352942498401,31118
Xixida,239508,WARLOCK,285587,261,9,0.35686276620254,36785
Execunat,237766,HUNTER,225594,428,5,0.97647064598277,19883
Chemdog,234690,ROGUE,290414,250,10,0.18431373639032,40922
Lyhkgdzjx,233503,WARLOCK,414893,151,7,0.91372554423288,29569
Frostpain,233157,MAGE,277153,270,7,0.18431373639032,25922
Palapaling,232348,PALADIN,358042,190,7,0.49411767628044,27471
Ariyas,229438,ROGUE,391239,164,9,0.08235294604674,35412
Girlsplaytoy,228106,PALADIN,388079,167,7,0.56470590829849,27824
Akaras,227490,DRUID,40826,2399,4,0.039215688593686,10197
Canjiaocat,225901,PALADIN,221578,451,5,0.1372549100779,15687
Cigybutbrain,225174,PRIEST,519711,104,11,0.0039215688593686,45020
Bricedenice,222567,DRUID,317036,219,6,0.29803923331201,21491
Aethra,220180,ROGUE,202695,605,7,0.78823534073308,28942
Mentholatum,220092,PALADIN,229165,405,7,0.40784316137433,27040
Sakurashi,219811,MAGE,475248,118,4,0.90588240651414,14530
Treasures,217311,PALADIN,150113,941,8,0.27058825129643,31353
Tajsam,216600,WARLOCK,316746,220,6,0.80000004731119,24001
Resistens,216287,PALADIN,211490,535,6,0.48627451062202,22432
Viila,214893,ROGUE,42502,2356,8,0.64705886179581,33236
Newmm,211338,MAGE,174539,772,5,0.94901966396719,19746
Pinkhead,209899,WARLOCK,12769,3438,8,0.8235294604674,34118
Anetta,209695,WARRIOR,364821,185,9,0.72941180784255,38648
Nips,208709,PALADIN,230641,402,9,0.21960785612464,36099
