name,honor,class,LWHonor,standing,rank,rankProgress,RP
Judyr,5168,PALADIN,40290,2922,2,0.94509809510782,4836
Perfects,3843,MAGE,787632,41,10,0.99607849027961,44981
Plute,1437,HUNTER,10715,4151,3,0.29803923331201,6491
Mahesvara,30473,WARRIOR,799494,39,12,0.14509804779664,50726
Ringrande,979,PALADIN,2277,5214,1,0.8352941670455,0
Avn,12004,WARRIOR,501763,103,9,0.070588239468634,35353
Qiqibaobao,24181,MAGE,84,0,2,0.019607844296843,2059
Kankanan,4173,PRIEST,220418,482,7,0.18823530524969,25942
Eleutheria,3371,ROGUE,73854,2152,6,0.79215690959245,23961
Dreamangel,31604,WARRIOR,463703,123,10,0.19215687410906,40961
Marilou,24716,WARRIOR,24332,3481,4,0.74509808328003,13726
Wuhanre,10776,MAGE,723390,52,11,0.61568631092086,48079
Guk,5781,HUNTER,42537,2854,7,0.94117652624846,29706
Datne,37168,WARRIOR,818073,26,11,0.66274513723329,48314
Littlexoxoo,2095,HUNTER,71958,2187,6,0.77647063415498,23883
Buzhisihuo,8575,WARRIOR,62722,2365,4,0.64313729293644,13216
Callifax,7657,HUNTER,117087,1463,7,0.047058826312423,25236
Apani,5715,ROGUE,203906,612,7,0.5490196403116,27746
Xuejiejie,35500,WARLOCK,137587,1219,3,0.2117647184059,6059
Droodix,9537,DRUID,63672,2346,5,0.76470592757687,18824
Punchme,32363,WARRIOR,892223,10,13,0.87450985563919,59373
Satele,1644,ROGUE,272571,308,6,0.86666671792045,24334
Nacsx,21536,MAGE,80066,2040,4,0.3490196284838,11746
Mmnnbb,21493,HUNTER,226061,454,6,0.9725490771234,24863
Tuanna,19226,MAGE,461424,124,4,0.66274513723329,13314
Hinuky,36145,WARRIOR,457283,125,10,0.9607843705453,44804
Openheimer,4551,ROGUE,173261,874,4,0.58823532890528,12942
Uumei,2871,MAGE,47172,2719,4,0.14117647893727,10706
Mandarava,19055,WARLOCK,80616,2034,3,0.87843142449856,9393
